salary;age;elevel;car;zipcode;credit;brand
6.253.008.169;33;1;19;3;1.200.756.732;0
3.040.652.511;56;2;19;1;1.966.246.704;1
1.033.074.971;78;3;2;4;2.415.916.523;1
5.813.879.884;63;1;13;7;4.563.786.291;0
7.418.648.422;37;1;19;6;1.813.753.567;0
1.087.054.751;39;4;8;0;1.699.324.877;0
1.220.062.668;63;3;4;5;1.057.840.084;1
1.370.477.626;24;1;3;8;3.775.400.703;1
6.651.169.777;33;1;3;3;3.788.469.654;0
2.946.068.623;51;3;10;5;0;1
1.088.770.311;54;4;4;2;2.961.262.087;0
3.382.272.642;73;3;6;4;2.490.955.005;0
5.269.569.161;57;0;10;5;3.816.263.164;1
1.353.830.026;60;2;10;3;500000;1
6.099.674.339;46;2;1;4;9.301.001.976;1
2.998.620.886;31;3;4;2;9.368.525.467;1
1.312.362.998;77;0;6;4;1.766.908.186;1
6.117.601.166;65;1;15;4;369.206.855;0
9.360.697.558;60;3;13;6;2.890.453.981;1
1.331.012.367;23;4;14;2;8.787.999.662;1
6.517.935.443;24;0;1;7;4.825.686.931;0
9.485.151.508;24;0;12;5;2.312.008.987;0
7.493.743.956;38;3;2;7;1.765.979.882;1
6.349.774.918;20;3;19;2;2.119.572.828;0
5.257.400.354;40;4;5;8;2.559.085.716;0
1.296.292.437;25;2;3;8;476.153.668;1
5.994.523.719;43;3;6;4;1.760.319.336;1
8.103.519.745;56;3;9;3;3.466.105.745;0
146.476.482;75;4;9;8;3.477.270.406;1
3.890.298.332;25;4;13;6;3.680.024.733;1
8.151.791.744;60;0;11;4;2.279.158.869;1
1.350.280.686;70;0;8;2;3.926.836.201;1
1.312.847.527;67;2;14;0;2.124.030.688;1
327.475.654;67;1;10;5;1.685.291.665;0
1.347.535.273;60;1;2;4;1.961.310.584;1
1.432.840.101;79;4;8;1;4.567.974.595;1
7.803.691.946;23;0;9;4;9.547.493.133;0
1.315.570.493;20;1;11;8;2.148.050.483;1
8.043.052.771;68;4;12;3;2.180.282.885;1
7.900.883.609;62;2;9;6;1.950.648.567;1
1.023.033.996;54;0;13;8;1.042.431.583;0
5.075.160.196;28;3;5;8;1.088.274.437;1
1.482.258.559;65;2;16;5;6.918.194.887;1
6.267.745.327;69;0;18;4;2.575.288.716;0
1.184.994.653;60;3;11;5;421.456.319;1
1.438.209.877;33;3;20;7;2.533.037.296;1
871.596.554;39;2;9;6;4.791.794.757;0
1.056.504.349;70;3;2;3;5.035.834.709;1
9.036.684.829;34;0;15;2;1.558.484.881;0
1.042.371.109;29;1;6;3;2.854.581.503;0
121.358.046;80;4;2;2;3.203.110.094;1
1.112.571.181;48;4;5;0;2.839.552.741;0
6.872.142.063;34;3;12;0;4.931.064.083;0
5.400.306.145;42;1;13;3;418.167.695;1
3.044.252.866;65;0;13;5;1.742.735.776;0
6.150.875.321;42;3;17;0;4.095.061.785;1
5.212.234.124;79;3;5;3;7.749.616.464;0
1.262.126.028;80;2;19;0;168.080.561;1
20000;24;2;5;5;1.552.581.632;1
1.345.866.273;36;0;13;4;2.744.352.684;1
1.329.687.466;73;1;4;4;4.121.742.548;1
8.067.507.645;23;3;8;5;3.941.190.794;0
1.109.344.081;76;1;2;1;3.243.640.186;1
8.048.027.581;73;4;13;7;1.891.096.735;1
3.044.923.807;41;2;14;8;435.936.443;1
1.432.359.707;20;2;17;2;1.788.996.023;1
9.570.049.555;74;3;12;0;4.137.588.983;1
150000;79;2;12;5;2.560.996.231;1
1.435.791.924;71;3;16;2;3.924.876.122;1
1.081.513.339;41;3;13;7;273.158.624;0
3.301.972.874;26;1;9;0;4.303.593.868;1
9.922.942.127;80;3;1;3;90.239.802;1
4.197.468.615;55;4;11;5;4.681.897.629;1
1.081.889.401;67;4;15;6;550.695.928;1
8.800.964.449;76;4;11;0;2.901.749.086;1
2.394.319.585;20;3;2;8;2.021.293.421;1
1.212.574.098;63;3;2;0;1.150.731.161;1
6.487.120.103;28;2;16;4;5.834.510.026;0
2.520.310.564;73;0;12;4;2.990.462.555;0
4.992.816.231;62;1;14;8;3.881.643.402;0
1.490.529.543;71;0;6;4;2.539.513.173;1
1.199.496.553;47;1;19;2;982.670.895;0
4.275.333.957;69;3;5;4;3.632.872.831;0
8.813.287.619;71;2;14;0;1.202.561.081;1
4.738.120.309;20;2;8;6;1.498.492.591;1
1.099.846.542;51;4;12;2;1.268.253.747;0
5.351.702.624;28;1;19;2;3.597.452.332;0
2.852.078.126;74;0;7;8;2.313.716.847;1
3.527.902.249;43;3;8;6;3.221.416.845;1
4.909.380.489;68;4;4;7;4.178.688.966;0
7.850.880.393;56;0;20;0;4.184.871.874;0
5.939.113.396;31;0;6;1;3.656.348.783;0
664.009.681;25;0;10;1;2.052.927.967;0
8.531.657.672;50;4;20;0;3.384.123.292;0
2.941.187.734;20;4;9;2;1.281.125.778;1
1.374.406.403;50;0;5;1;2.359.518.349;1
962.159.336;78;4;20;1;1.700.701.054;1
1.493.816.224;56;2;19;4;4.999.190.233;1
4.131.134.221;70;2;16;2;359.642.598;0
1.174.908.099;39;1;10;4;2.493.687.339;1
52.286.602;64;3;18;4;2.228.029.364;0
4.600.936.558;57;2;1;6;1.770.975.622;1
9.709.805.164;76;0;19;6;8.083.681.511;1
4.689.644.036;20;1;14;8;7.359.801.015;1
1.071.681.808;64;0;8;4;4.817.589.899;1
4.091.835.274;75;4;11;7;206.092.456;0
1.447.608.182;24;0;12;7;2.225.418.354;1
7.398.901.714;78;2;15;5;3.671.961.413;1
9.245.082.115;80;2;7;5;4.613.305.723;1
9.601.559.717;56;4;9;2;2.926.843.353;0
3.241.733.493;75;0;13;3;4.285.934.997;0
20000;49;2;4;1;3.450.885.304;1
2.813.096.853;65;4;11;1;2.336.707.509;0
1.376.808.364;64;4;19;3;289.043.029;1
6.453.464.297;50;1;9;2;3.450.424.407;1
1.323.731.711;67;3;9;3;2.749.857.772;1
7.700.078.135;26;2;11;4;1.110.194.481;0
4.960.871.792;41;3;10;7;2.807.226.449;1
9.756.819.151;25;0;11;6;1.361.626.523;0
1.025.462.424;70;0;17;0;2.916.448.613;1
3.989.349.815;67;4;20;8;3.622.572.117;0
7.832.733.814;70;4;4;5;1.946.847.227;0
97.848.652;80;4;7;7;1.646.799.272;1
136.139.333;49;2;18;4;3.735.512.316;1
3.759.358.302;68;4;9;0;412.642.929;0
1.152.462.697;50;4;16;7;1.501.356.414;0
7.828.884.878;39;3;18;5;2.009.892.313;0
8.390.013.679;49;2;13;2;1.533.604.746;0
1.409.836.454;26;2;13;8;2.721.771.548;1
1.181.200.349;27;2;9;5;1.971.899.791;1
3.395.993.983;48;3;2;0;4.484.953.435;1
795.340.339;34;4;13;5;1.625.462.649;0
63.448.115;70;3;18;0;1.432.067.271;0
1.304.786.889;59;0;18;5;2.857.568.674;1
5.973.539.764;21;0;11;3;3.506.473.669;0
5.024.386.363;62;0;5;7;1.990.583.782;0
1.099.864.825;80;2;18;3;3.502.459.272;1
6.043.007.719;55;3;16;6;3.469.876.715;1
126163.06;20;0;4;2;4.959.432.426;1
9.365.513.705;75;4;4;6;7.417.088.405;1
472.262.828;50;1;16;2;4.254.772.329;1
1.332.920.556;80;0;2;2;4.735.797.185;1
9.285.184.661;61;2;5;6;2.425.088.379;0
879.938.416;59;4;19;8;2.651.911.441;1
3.897.724.422;38;3;16;4;3.058.822.393;1
2.801.341.938;38;2;12;3;3.006.611.321;1
2.159.069.427;27;2;17;6;2.418.569.137;1
1.132.772.473;31;4;4;8;9.306.759.816;1
4.702.359.846;71;2;1;4;8.739.455.115;0
3.795.659.529;20;4;4;6;1.109.879.612;1
2.974.996.836;75;4;10;7;9.278.172.906;0
1.332.709.719;71;3;13;4;6.774.762.938;1
1.297.299.522;48;1;15;5;203.525.247;1
387.107.261;43;1;16;1;2.296.608.104;1
1.279.188.504;56;1;9;0;3.280.051.322;0
1.147.512.165;38;2;18;1;4.383.986.406;1
1.313.477.386;54;4;7;5;4.784.924.788;1
1.306.071.733;34;0;14;7;8.231.602.333;1
1.271.076.431;46;4;19;6;4.465.493.822;1
1.258.346.714;77;3;12;3;1.513.043.227;1
1.212.152.915;36;2;16;2;4.891.135.852;1
8.299.081.344;54;0;5;5;2.162.293.851;0
4.272.288.268;29;1;7;3;1.133.965.117;1
3.889.709.318;74;4;17;5;2.724.028.345;0
1.240.959.612;52;4;4;6;327.869.529;1
32.758.071;59;4;15;2;500000;1
1.041.205.652;62;4;18;4;1.964.434.236;1
3.919.123.949;78;0;1;6;3.849.010.662;0
3.480.627.895;28;3;11;5;8.420.095.517;1
3.409.468.763;26;2;18;4;2.138.457.747;1
9.549.618.309;41;2;1;4;7.053.870.772;0
7.688.002.549;51;2;13;3;8.326.795.541;0
7.030.253.879;59;4;11;0;2.080.735.433;1
6.559.646.133;58;0;18;5;6.804.120.849;0
2.403.732.289;25;3;9;3;2.124.071.919;1
120.052.804;62;1;2;7;2.917.656.928;1
1.401.619.768;65;4;20;7;4.946.208.922;1
1.023.304.271;43;1;4;8;3.499.312.028;0
1.227.040.197;32;1;17;6;3.676.275.043;1
6.575.125.861;20;0;1;7;3.655.646.884;0
1.139.859.618;70;2;4;3;2.621.987.479;1
3.978.521.643;53;0;9;0;233.404.798;1
1.468.236.572;59;0;16;4;1.589.815.323;1
9.091.244.612;37;4;18;5;484.590.486;0
7.858.302.501;41;4;7;1;1.691.358.509;0
8.741.605.793;66;0;1;1;3.377.400.335;1
1.494.764.556;36;0;13;4;499.515.538;1
4.014.459.645;26;1;14;0;1.836.143.432;1
4.360.826.154;38;0;5;2;4.387.331.361;1
7.756.588.589;77;4;3;4;1.308.846.659;0
4.364.794.885;59;3;8;8;4.443.394.802;1
8.456.733.496;26;3;8;1;675.817.721;0
2.225.886.868;53;2;13;0;3.515.153.414;1
4.052.123.901;35;0;6;1;1.417.195.761;1
4.226.626.315;20;1;5;6;1.394.914.026;1
7.014.531.616;51;0;9;3;4.641.060.042;1
8.566.241.886;43;1;7;3;799.491.954;0
6.141.814.903;44;4;10;7;3.494.898.514;1
5.193.566.638;26;0;7;0;7.051.533.603;0
7.283.602.262;37;0;11;6;2.043.391.107;0
5.890.951.917;48;2;4;0;2.871.924.157;1
4.900.273.711;23;2;15;5;4.584.952.876;1
5.714.950.559;40;2;9;3;2.852.635.334;0
4.433.814.712;70;4;8;1;1.680.298.452;0
1.290.850.584;25;0;20;7;1.588.991.597;1
5.820.901.127;58;0;20;3;2.074.538.455;1
7.622.036.685;49;3;5;6;9.924.585.564;0
1.180.199.111;66;2;5;7;4.411.488.441;1
1.388.460.279;64;3;12;6;2.510.943.522;1
684.308.842;53;3;11;4;2.292.496.982;1
9.941.551.041;28;4;19;3;1.744.982.719;1
9.027.414.966;42;2;3;2;4.301.110.497;0
7.575.994.661;22;2;14;6;4.175.560.198;0
1.251.220.232;56;1;2;0;4.318.952.545;1
312.281.412;61;2;19;0;1.808.120.746;0
1.121.335.766;41;2;9;1;2.741.640.098;1
2.027.823.549;20;3;18;7;4.453.007.268;1
3.477.577.741;53;0;1;3;2.651.738.278;1
1.405.684.004;63;3;3;7;4.272.041.275;1
6.337.968.991;38;2;20;6;1.516.182.182;0
6.054.875.042;33;2;16;1;7.740.887.304;0
8.135.502.325;53;4;16;6;0;0
1.186.093.138;48;0;18;5;3.263.937.078;0
1.025.771.095;34;0;15;3;3.994.446.058;0
1.450.575.764;38;0;18;4;4.218.054.192;1
1.298.083.291;64;3;13;4;4.193.753.654;1
1.425.123.429;80;2;20;0;3.897.520.832;1
7.086.833.154;33;0;12;0;3.659.543.255;0
101542.31;62;3;18;8;1.652.193.831;1
139.105.043;46;2;6;5;4.057.365.964;1
136901.61;52;2;5;3;3.733.105.058;1
1.420.569.687;20;4;1;1;2.750.726.242;1
7.964.166.869;42;4;14;2;3.807.296.209;0
6.977.796.975;41;0;4;8;4.756.015.188;0
1.122.081.743;34;2;11;4;189.635.711;1
1.117.792.375;28;0;5;0;2.935.258.231;1
709.587.192;60;1;11;4;2.925.797.571;0
3.764.375.901;75;2;18;7;1.110.938.928;0
20000;21;0;18;3;4.217.026.081;1
2.039.811.219;26;0;16;1;1.474.010.107;1
6.280.481.329;55;3;11;0;4.367.160.454;1
992.553.331;55;0;10;8;4.588.171.474;0
1.082.393.476;64;0;4;2;6.062.417.283;1
4.896.858.546;80;0;6;5;3.247.654.487;0
1.235.769.301;31;4;10;5;246309.71;1
1.394.300.387;71;2;11;8;500000;1
2.362.650.827;20;2;11;2;1.692.883.191;1
4.556.372.315;48;2;2;3;3.315.927.524;1
7.221.626.656;80;1;13;7;9.153.973.879;1
422.690.226;28;4;1;4;500000;1
113.125.186;66;3;18;1;1.025.308.213;1
3.376.522.413;50;0;6;3;1.009.421.507;1
685.537.993;76;1;18;1;2.654.784.027;0
2.436.551.308;52;0;14;1;3.802.908.163;1
4.882.702.004;50;3;17;2;4.149.827.683;1
7.174.308.239;39;2;8;2;2.109.756.108;1
1.202.030.981;57;4;1;5;3.092.308.912;0
9.038.001.134;34;1;9;5;3.481.077.679;0
4.949.366.202;66;3;2;7;2.805.977.185;0
1.185.439.413;41;1;17;8;4.034.344.942;1
4.721.212.434;28;1;19;7;437.912.421;1
6.564.088.598;31;2;2;7;3.653.292.573;0
1.046.933.829;42;3;8;5;2.131.395.176;0
2.642.247.482;35;4;17;6;9.781.502.313;1
1.217.119.341;30;2;3;2;2.397.382.881;1
1.317.795.498;61;1;4;6;4.855.743.629;1
4.168.186.846;80;3;18;0;4.705.701.628;0
1.004.390.394;50;3;5;7;2.248.692.326;0
9.434.486.442;55;3;20;4;5.290.881.543;0
4.726.958.312;33;3;11;7;4.654.518.505;0
150000;45;3;7;5;1.083.626.493;1
2.580.703.261;50;2;6;5;2.884.613.952;1
3.487.465.198;62;1;17;3;3.151.804.645;0
1.493.264.487;35;3;6;2;4.099.621.897;1
5.519.003.408;23;4;17;5;3.858.195.581;0
20000;76;1;17;1;1.530.605.203;1
4.713.062.186;22;2;6;6;325.947.444;1
1.115.707.598;69;1;8;1;1.704.148.271;1
1.326.379.651;70;1;9;0;4.617.499.263;1
2.991.423.153;65;0;15;3;2.538.803.903;0
1.368.879.684;46;0;17;1;1.781.395.399;1
7.872.744.979;20;2;9;7;465.676.862;0
9.399.589.544;34;1;8;2;4.630.382.829;0
8.024.448.644;34;2;13;4;1.654.668.804;0
1.182.966.509;31;2;4;1;2.030.917.598;1
147.433.961;79;0;17;8;4.444.994.798;1
1.423.847.681;38;4;1;8;1.749.770.655;1
6.030.533.221;29;4;3;0;6.680.483.323;0
946.072.834;25;3;5;8;2.204.262.775;0
9.986.075.595;68;2;12;4;5.664.285.912;1
2.509.715.752;68;3;13;6;3.711.633.925;1
4.844.840.381;68;0;2;6;3.964.942.099;0
4.070.111.179;60;3;12;2;3.950.254.366;1
6.903.722.101;22;4;15;1;1.042.784.583;0
7.664.851.783;25;0;15;0;307.266.616;0
5.421.381.954;33;2;20;4;2.459.105.713;0
2.349.575.098;77;4;9;2;2.141.878.315;0
9.966.397.678;30;3;7;7;3.226.201.848;1
1.398.153.895;65;1;2;1;4.988.488.296;1
1.334.621.842;52;0;20;7;4.451.661.115;1
2.487.445.617;76;1;6;2;1.813.982.554;0
3.400.835.413;75;1;14;4;3.018.147.262;0
5.140.594.436;20;1;20;3;1.483.618.958;1
7.428.662.381;25;4;2;3;309.608.759;0
7.402.982.903;33;2;3;5;4.664.653.019;0
2.587.521.663;68;3;14;6;1.042.494.938;0
1.453.275.758;28;0;4;7;2.170.719.173;1
6.072.387.848;36;3;13;6;1.289.954.082;0
650.796.841;46;3;15;8;2.816.881.147;1
145.920.436;29;3;2;5;2.265.084.279;1
2.508.791.218;57;0;6;7;4.298.743.821;1
3.423.415.738;57;4;1;0;0;1
4.536.678.335;57;1;15;6;7.687.622.197;1
8.818.793.804;61;2;10;0;1.556.813.306;1
1.160.618.018;41;4;19;0;8.124.929.719;0
117.555.618;77;4;10;3;3.780.023.623;1
20000;74;0;15;8;4.886.704.973;1
9.145.846.326;51;3;6;8;1.400.628.254;0
132.959.439;42;3;17;2;2.273.895.006;1
1.125.990.623;76;0;6;5;1.367.194.089;1
3.882.394.203;71;2;4;1;6.842.259.757;0
7.198.444.181;55;1;4;4;159.576.566;1
4.857.792.992;52;1;15;5;3.355.434.814;1
141160.73;31;0;10;3;3.862.164.188;1
1.409.836.849;37;1;3;0;1.198.298.107;1
9.774.236.859;50;0;5;7;2.623.067.886;0
83.492.272;33;4;1;5;4.801.489.325;0
8.626.127.295;69;2;11;4;2.712.273.568;1
8.651.198.435;60;0;18;6;2.211.408.975;0
1.254.742.292;54;0;14;1;2.509.817.121;1
1.240.216.554;58;1;6;7;2.237.663.322;1
4.918.874.131;71;1;15;6;155.177.894;0
9.608.455.209;39;2;19;8;1.763.817.684;0
4.881.217.381;49;1;10;0;2.325.896.902;1
1.293.969.712;67;0;17;6;1.801.062.054;1
1.388.841.514;24;4;12;1;3.805.089.912;1
20000;27;2;4;8;4.249.491.442;1
1.137.942.252;50;0;9;8;1.794.235.973;0
9.988.135.602;77;2;11;0;1.818.854.129;1
3.085.997.224;69;0;11;7;4.644.006.742;0
1.284.745.346;39;0;11;5;3.047.168.158;1
108.210.107;80;0;19;2;1.296.638.009;1
7.511.305.559;34;4;19;3;308.755.759;0
1.034.234.712;47;1;17;5;9.530.560.802;0
7.290.146.632;49;0;18;5;2.446.153.655;1
9.538.131.132;78;2;11;3;1.715.027.046;1
2.366.545.734;47;1;20;0;2.269.912.713;1
6.103.822.298;64;1;8;4;1.514.124.649;0
1.458.318.124;39;2;12;3;0;1
3.675.659.271;71;0;8;7;3.264.557.941;0
4.797.675.828;27;2;17;0;4.737.751.803;1
3.013.306.721;38;0;16;4;2.754.503.032;1
5.782.335.802;29;3;5;8;4.629.589.169;0
8.245.710.299;56;2;19;4;9.281.649.745;0
1.398.246.238;26;1;4;2;4.122.373.977;1
4.330.056.611;25;1;7;1;2.033.954.051;1
134.907.334;24;0;18;0;3.250.707.633;1
4.422.633.717;21;3;10;3;1.063.994.272;1
8.769.178.476;51;1;10;6;3.600.696.336;0
4.133.898.004;37;2;17;3;2.137.576.416;1
1.422.405.813;52;0;2;8;1.740.071.685;1
8.996.117.883;34;3;9;5;3.112.105.758;0
3.939.861.484;48;3;19;4;4.573.805.616;1
3.196.011.995;59;2;3;6;4.602.728.739;1
150000;33;0;1;0;2.941.901.848;1
7.511.993.191;72;3;15;8;2.906.910.673;0
1.252.574.687;29;4;3;5;1.433.890.142;1
1.305.926.381;31;4;4;7;263.877.204;1
3.491.586.608;32;2;10;7;3.551.874.219;1
1.041.997.474;60;3;13;6;3.284.989.421;1
746.839.054;62;4;19;4;500000;0
1.216.641.401;57;3;12;6;4.719.713.992;0
8.284.622.097;50;0;13;7;4.299.324.795;0
5.941.475.812;28;3;8;0;2.138.674.744;0
3.249.617.449;38;1;13;6;1.421.003.277;1
1.182.727.701;29;4;7;5;110709.2;1
9.705.470.074;75;3;11;7;1.574.012.729;1
8.590.126.651;30;1;20;7;2.343.420.337;0
4.348.300.617;53;4;5;0;4.681.263.133;1
1.119.298.451;23;2;13;7;6.185.342.882;1
2.752.479.859;31;1;2;5;3.878.898.825;1
1.047.903.794;72;1;6;1;3.442.852.268;1
5.186.646.311;76;1;12;5;3.522.731.615;0
243.712.527;37;4;14;8;3.176.108.542;1
1.196.562.349;77;3;4;6;1.538.369.903;1
1.293.454.246;75;1;9;3;3.927.814.979;1
5.877.238.851;47;1;11;3;1.681.480.768;1
1.143.431.538;26;3;4;8;4.377.256.556;1
1.477.335.933;32;2;19;7;1.915.806.483;1
6.747.625.629;53;0;5;7;4.129.768.508;1
4.185.239.864;20;3;1;1;4.365.583.714;1
4.400.200.962;26;0;20;3;3.111.278.515;1
9.773.256.766;73;2;8;5;1.571.945.351;1
6.916.870.045;49;0;14;4;500000;1
1.026.475.334;57;0;18;4;2.003.757.544;0
4.150.472.451;27;1;4;4;5.736.739.573;1
1.498.649.679;66;2;14;8;2.325.965.568;1
6.476.465.884;44;4;17;0;2.408.476.588;1
1.248.003.538;37;1;10;7;4.383.866.451;1
8.524.796.192;58;2;3;6;2.633.417.105;0
7.083.784.081;52;4;1;1;4.459.596.062;1
4.480.475.878;57;4;15;0;4.376.377.183;1
2.858.053.091;32;2;9;2;1.504.175.252;1
118.977.324;80;3;19;2;3.012.753.376;1
1.249.038.832;47;4;15;8;1.442.679.036;0
3.098.695.093;53;1;16;6;4.333.162.635;1
6.751.296.639;77;2;10;1;8.244.335.046;0
6.397.853.518;53;0;9;2;2.371.472.632;1
5.409.896.368;36;0;11;2;1.927.106.546;0
4.888.049.969;63;3;13;3;1.676.546.868;0
2.488.193.627;41;4;16;5;1.779.039.676;1
1.258.237.015;28;4;9;4;3.266.894.304;1
6.569.401.376;55;4;17;5;3.330.323.305;1
1.434.857.097;47;3;9;3;2.658.758.649;1
4.126.355.715;71;4;9;0;2.411.651.235;0
8.230.199.104;66;4;10;0;3.767.006.799;1
125.665.203;70;2;11;1;583.313.792;1
2.699.694.833;31;2;14;4;2.416.324.365;1
5.957.373.573;28;1;16;3;460.835.836;0
1.214.261.975;42;1;15;4;8.787.534.769;1
1.212.372.146;76;3;8;0;3.100.458.859;1
4.044.390.822;69;3;14;1;7.609.029.644;0
5.464.535.369;72;4;6;1;421.296.739;0
1.159.394.931;47;3;9;3;4.318.287.114;0
9.448.520.256;29;3;15;1;500000;0
1.302.433.134;64;4;20;4;284698.34;1
1.378.578.266;76;0;8;3;9.117.240.726;1
940.584.539;77;4;9;4;4.033.777.948;1
9.593.420.587;61;2;3;0;1.999.275.449;0
6.536.485.288;45;4;7;5;3.317.786.665;1
2.549.676.018;38;3;6;4;1.435.368.077;1
3.214.562.607;24;1;2;6;4.792.635.065;1
6.269.403.085;63;1;2;7;7.955.728.541;0
9.481.130.248;42;1;5;8;4.560.197.477;0
1.412.763.601;44;2;17;6;2.941.965.504;1
6.786.407.319;64;0;1;4;1.815.790.346;0
9.220.785.564;33;0;5;1;378.857.213;0
6.120.981.018;74;2;7;7;123282.85;0
1.491.689.407;76;4;19;5;8.960.993.744;1
5.655.253.498;34;0;1;7;3.128.483.368;0
20000;72;0;20;0;360.390.131;1
938.019.282;66;1;13;1;4.666.987.349;1
8.494.917.898;47;3;4;6;1.052.150.644;0
9.318.276.889;51;4;16;8;4.023.868.617;0
9.904.193.679;33;4;16;3;4.214.699.167;1
9.257.195.927;73;3;15;1;3.469.274.828;1
6.060.065.609;55;0;2;5;500000;1
6.800.031.697;71;1;19;3;4.700.817.883;0
7.769.685.887;44;2;12;7;3.266.787.938;0
4.026.406.871;43;0;3;7;2.808.467.994;1
1.277.123.769;75;4;8;3;4.382.350.661;1
1.126.900.327;37;2;11;3;6.607.323.902;1
6.919.008.222;64;2;4;5;119.917.167;0
4.447.310.434;23;4;14;5;8.184.089.009;0
1.248.463.367;68;1;5;7;0;1
3.685.752.432;72;3;11;7;269.422.594;0
9.229.866.149;74;3;15;8;8.482.756.028;1
150000;41;2;1;6;2.227.694.574;1
1.065.471.245;56;2;5;6;2.519.040.445;0
9.453.920.665;48;2;12;7;388.330.597;0
1.130.451.941;58;3;1;7;453968.52;0
9.558.602.879;67;1;12;1;3.164.579.991;1
5.521.801.532;64;2;17;8;1.771.826.419;0
123.901.449;38;3;19;6;3.464.604.592;1
1.334.311.051;57;2;17;1;3.783.857.616;1
2.206.843.785;34;2;8;2;3.068.654.961;1
5.232.636.505;41;4;8;6;4.711.898.827;1
2.661.090.229;22;4;3;3;3.254.952.928;1
7.673.254.614;32;4;18;3;382.630.141;0
5.744.653.666;72;4;20;3;7.384.456.087;0
1.160.393.695;28;3;12;2;1.747.523.638;1
1.265.186.483;45;1;2;8;1.962.902.825;0
9.588.039.213;51;0;14;8;1.447.072.383;0
2.604.462.319;52;1;11;2;3.973.065.367;1
1.221.455.914;66;3;9;4;201.930.309;1
9.549.778.888;74;1;7;1;1.203.318.931;1
1.041.191.078;32;2;4;6;2.860.156.964;1
7.822.401.623;47;3;2;5;3.387.000.568;0
1.429.880.624;76;1;9;5;5.297.748.327;1
1.337.821.508;70;4;16;6;2.544.266.454;1
1.177.583.895;44;0;4;4;3.949.920.774;0
1.278.173.438;62;3;7;5;1.615.668.472;1
4.514.035.892;65;3;12;7;3.316.777.605;0
6.716.015.551;71;1;8;5;2.648.678.583;0
4.517.508.584;29;2;20;8;1.531.237.957;1
1.118.551.874;49;0;17;0;2.400.043.563;0
4.445.343.002;37;1;10;3;2.790.924.182;1
1.295.976.279;21;1;15;2;345.252.936;1
150000;30;4;12;4;2.771.803.543;1
6.109.100.994;42;2;11;8;3.298.775.221;1
1.304.963.028;33;1;10;5;7.112.584.818;1
1.439.817.807;45;4;8;3;753.344.336;1
4.937.001.458;80;1;3;7;1.526.523.539;0
8.478.955.919;80;2;10;0;972.103.889;1
475.230.391;47;4;2;6;3.801.808.963;1
3.281.578.636;68;1;1;1;3.867.315.864;0
7.076.905.864;35;3;8;3;3.887.357.714;0
4.477.408.517;38;2;2;1;3.955.866.812;1
1.163.740.438;40;2;15;5;1.047.842.352;1
8.972.345.242;35;1;8;2;2.020.330.216;0
3.247.632.359;51;1;10;8;6.049.037.561;1
1.119.381.389;51;1;11;5;3.102.846.894;0
1.452.794.042;71;2;8;7;1.728.295.465;1
1.466.549.695;66;2;20;7;4.312.820.723;1
1.247.771.235;37;0;16;6;3.559.783.978;1
1.244.502.161;35;2;14;1;4.232.507.328;1
5.283.179.513;31;1;10;5;4.848.336.373;0
55.086.038;20;2;7;6;2.104.506.573;0
1.085.658.188;77;0;12;7;2.476.301.351;1
1.440.482.539;47;0;15;7;3.584.386.848;1
7.414.817.975;63;0;10;7;3.617.968.474;0
1.226.384.973;59;1;11;0;4.061.759.791;1
9.259.057.375;42;1;16;8;2.612.898.024;0
1.479.051.644;66;3;18;0;2.880.267.081;1
1.150.872.222;29;1;16;1;6.645.831.737;1
5.494.325.953;27;0;17;6;2.070.047.128;0
7.785.594.952;77;2;8;8;3.266.089.266;1
1.477.194.667;55;1;8;7;1.386.126.995;1
304.485.041;80;1;7;8;3.467.318.108;0
1.476.690.633;58;1;7;4;3.641.746.698;1
3.174.725.722;31;0;7;5;4.529.568.333;1
4.305.155.532;64;3;8;1;2.593.938.092;0
4.368.896.079;35;2;7;2;4.646.643.096;1
4.617.334.605;53;0;10;7;3.118.029.586;1
7.366.946.589;69;1;19;1;1.412.449.935;0
7.710.505.612;51;3;15;5;125.418.999;1
1.191.633.981;21;3;8;7;4.302.195.626;1
2.461.181.496;45;0;11;8;3.407.467.428;1
1.003.481.658;69;2;17;5;4.245.454.918;1
9.259.878.916;28;1;7;3;1.672.945.582;0
4.228.672.764;40;1;15;2;2.350.958.749;1
2.414.641.412;56;4;14;7;3.511.663.756;1
4.896.786.727;45;1;5;1;4.452.501.763;1
7.213.756.584;54;0;10;5;3.136.436.188;1
9.277.402.539;59;4;13;4;2.793.555.749;1
126.858.817;36;4;20;2;2.964.532.694;1
4.794.579.985;40;0;6;5;0;1
1.154.122.893;40;2;19;3;4.432.478.445;0
4.625.241.103;34;2;18;0;217.085.536;1
8.996.226.826;35;3;2;2;4.339.777.636;0
3.689.422.699;54;4;4;2;358.307.194;1
3.721.568.067;24;2;19;3;6.008.548.846;1
1.338.933.738;78;1;19;8;2.954.144.087;1
1.079.609.408;28;2;1;7;3.700.350.917;1
1.129.523.977;62;3;12;0;4.769.467.587;1
2.986.564.652;53;1;1;6;2.901.477.961;1
1.169.832.311;40;4;11;4;2.240.214.345;0
363.203.074;62;3;19;8;4.615.018.617;0
9.081.973.327;69;4;20;2;2.695.744.276;1
4.390.762.235;42;2;11;6;3.544.951.013;1
119.637.761;32;2;18;7;0;1
